#country^currency^continent^iata_zone
AD^EUR^EU^21
AE^AED^AS^22
AF^AFN^AS^31
AG^XCD^NA^12
AI^XCD^NA^12
AL^ALL^EU^21
AM^AMD^AS^21
AN^^NA^
AO^AOA^AF^23
AP^^AS^
AQ^^AN^
AR^ARS^SA^13
AS^USD^OC^32
AT^EUR^EU^21
AU^AUD^OC^32
AW^AWG^NA^12
AX^EUR^EU^
AZ^AZN^AS^21
BA^BAM^EU^21
BB^BBD^NA^12
BD^BDT^AS^31
BE^EUR^EU^21
BF^XOF^AF^23
BG^BGN^EU^21
BH^BHD^AS^22
BI^BIF^AF^23
BJ^XOF^AF^23
BL^EUR^NA^
BM^BMD^NA^12
BN^BND^AS^31
BO^BOB^SA^12
BQ^^^12
BR^BRL^SA^13
BS^BSD^NA^12
BT^INR^AS^31
BV^^AN^
BW^BWP^AF^23
BY^BYR^EU^21
BZ^BZD^NA^12
CA^CAD^NA^11
CC^^AS^32
CD^^AF^23
CF^XAF^AF^23
CG^XAF^AF^23
CH^CHF^EU^21
CI^XOF^AF^23
CK^NZD^OC^32
CL^CLP^SA^13
CM^XAF^AF^23
CN^CNY^AS^31
CO^COP^SA^12
CR^CRC^NA^12
CU^CUP^NA^12
CV^CVE^AF^23
CW^ANG^^12
CX^^AS^32
CY^EUR^AS^21
CZ^CZK^EU^21
DE^EUR^EU^21
DJ^DJF^AF^23
DK^DKK^EU^21
DM^XCD^NA^12
DO^^NA^12
DZ^DZD^AF^21
EC^USD^SA^12
EE^EUR^EU^21
EG^EGP^AF^22
EH^MAD^AF^
ER^ERN^AF^23
ES^EUR^EU^21
ET^ETB^AF^23
EU^^EU^
FI^EUR^EU^21
FJ^FJD^OC^32
FK^FKP^SA^13
FM^USD^OC^31
FO^^EU^21
FR^EUR^EU^21
FX^^EU^
GA^XAF^AF^23
GB^GBP^EU^21
GD^XCD^NA^12
GE^GEL^AS^21
GF^EUR^SA^12
GG^GBP^EU^
GH^GHS^AF^23
GI^GIP^EU^21
GL^DKK^NA^11
GM^GMD^AF^23
GN^GNF^AF^23
GP^EUR^NA^12
GQ^XAF^AF^23
GR^EUR^EU^21
GS^^AN^
GT^GTQ^NA^12
GU^USD^OC^31
GW^XOF^AF^23
GY^GYD^SA^12
HK^HKD^AS^31
HM^^AN^
HN^HNL^NA^12
HR^HRK^EU^21
HT^USD^NA^12
HU^HUF^EU^21
ID^IDR^AS^31
IE^EUR^EU^21
IL^ILS^AS^22
IM^GBP^EU^
IN^INR^AS^31
IO^^AS^
IQ^IQD^AS^22
IR^IRR^AS^22
IS^ISK^EU^21
IT^EUR^EU^21
JE^GBP^EU^21
JM^JMD^NA^12
JO^JOD^AS^22
JP^JPY^AS^31
KE^KES^AF^23
KG^KGS^AS^31
KH^KHR^AS^31
KI^AUD^OC^32
KM^KMF^AF^23
KN^XCD^NA^12
KP^KPW^AS^31
KR^KRW^AS^31
KW^KWD^AS^22
KY^KYD^NA^12
KZ^KZT^AS^31
LA^LAK^AS^31
LB^LBP^AS^22
LC^XCD^NA^12
LI^CHF^EU^
LK^LKR^AS^31
LR^LRD^AF^23
LS^ZAR^AF^23
LT^EUR^EU^21
LU^EUR^EU^21
LV^EUR^EU^21
LY^LYD^AF^23
MA^MAD^AF^21
